tdiv0,tdiv,tld,tdie
31.7375,,31.7375,33.59375
32.15,10.614999999999998,49.6125,56.395833333333336
33.15833333333333,9.487500000000004,42.645833333333336,52.90104166666667
30.5,8.886574074074076,51.18611111111111,59.549166666666665
39.895833333333336,14.94166666666667,47.366666666666674,54.31805555555555
32.975,,32.975,37.55833333333334
33.020833333333336,,33.020833333333336,34.78541666666667
40.03333333333333,,40.03333333333333,48.83333333333333
31.462500000000002,9.097916666666666,40.56041666666667,46.209374999999994
31.554166666666667,9.175833333333333,50.09375,55.44642857142858
35.45,10.248333333333333,52.534375,56.32380952380952
34.16666666666667,9.441666666666663,38.8875,44.17361111111111
38.795833333333334,11.366666666666667,50.1625,56.13229166666667
