tdiv0,tdiv,tld,tdie
35.954166666666666,,35.954166666666666,64.43958333333333
42.27916666666667,16.752083333333335,65.95208333333335,91.1986111111111
67.94583333333333,,67.94583333333333,69.25208333333333
46.083333333333336,,46.083333333333336,85.86666666666666
40.95,,40.95,46.243750000000006
35.862500000000004,10.931249999999999,46.79375,61.09375
38.97916666666667,,38.97916666666667,53.85208333333333
38.97916666666667,16.774999999999995,55.75416666666666,75.53125
48.5125,,48.5125,113.9625
40.125,15.789583333333333,54.608333333333334,85.5
39.391666666666666,13.727083333333333,53.11875,87.48229166666667
33.112500000000004,11.045833333333327,38.63541666666667,44.356944444444444
42.37083333333334,,42.37083333333334,80.84791666666668
44.983333333333334,,44.983333333333334,54.5625
39.62083333333334,,39.62083333333334,43.03541666666666
54.0125,,54.0125,55.47916666666667
39.85,,39.85,54.53958333333333
34.2125,,34.2125,47.641666666666666
36.91666666666667,,36.91666666666667,60.131249999999994
42.41666666666667,,42.41666666666667,54.37916666666667
34.075,21.495833333333337,44.82291666666667,55.20416666666667
40.170833333333334,,40.170833333333334,65.05833333333334
43.88333333333333,,43.88333333333333,65.08125
48.2375,64.02916666666668,80.25208333333333,114.84861111111111
49.704166666666666,,49.704166666666666,67.09791666666666
39.1625,,39.1625,60.40625
40.21666666666667,,40.21666666666667,51.14791666666667
37.28333333333333,18.264583333333338,55.547916666666666,83.10520833333334
49.84166666666667,,49.84166666666667,85.29375
40.170833333333334,19.456250000000004,60.29166666666667,61.62083333333334
41.087500000000006,18.489166666666666,55.983333333333334,98.74583333333334
34.9,,34.9,46.81666666666667
39.4375,19.891666666666666,49.38333333333333,60.138888888888886
37.420833333333334,12.054166666666667,43.44791666666667,50.39166666666667
